,rai_a,rai_b,rai_divergence,rai_diff
2024-12-02,1.9169374194687345,0.27997983290526474,1.6369575865634698,1.6369575865634698
2024-12-03,0.06928689467959297,-0.6938630641565269,0.7631499588361198,0.7631499588361198
2024-12-04,-0.16166942091904973,-0.6938630641565269,0.5321936432374772,0.5321936432374772
2024-12-05,-0.16166942091904973,0.03651910863981684,0.19818852955886657,-0.19818852955886657
2024-12-06,-0.3926257365176924,-0.9373237884219747,0.5446980519042823,0.5446980519042823
2024-12-09,-0.3926257365176924,-0.450402339891079,0.05777660337338658,0.05777660337338658
2024-12-10,-0.8545383677149778,-0.9373237884219747,0.0827854207069969,0.0827854207069969
2024-12-11,-0.6235820521163351,-0.450402339891079,0.17317971222525613,-0.17317971222525613
2024-12-12,-0.6235820521163351,-0.450402339891079,0.17317971222525613,-0.17317971222525613
2024-12-13,-0.3926257365176924,-0.450402339891079,0.05777660337338658,0.05777660337338658
2024-12-16,-0.8545383677149778,-0.9373237884219747,0.0827854207069969,0.0827854207069969
2024-12-17,-0.6235820521163351,-0.6938630641565269,0.07028101204019177,0.07028101204019177
2024-12-18,0.06928689467959297,1.0103620057016085,0.9410751110220156,-0.9410751110220156
2024-12-19,-0.8545383677149778,-0.20694161562563107,0.6475967520893467,-0.6475967520893467
2024-12-20,3.3026753130605906,3.2015085240906394,0.10116678896995124,0.10116678896995124
2024-12-23,0.30024321027823564,1.4972834542325042,1.1970402439542687,-1.1970402439542687
2024-12-24,0.06928689467959297,0.27997983290526474,0.21069293822567176,-0.21069293822567176
2024-12-26,0.5311995258768784,0.5234405571707126,0.00775896870616577,0.00775896870616577
2024-12-27,-0.3926257365176924,0.27997983290526474,0.6726055694229571,-0.6726055694229571
2024-12-30,0.06928689467959297,-0.20694161562563107,0.27622851030522405,0.27622851030522405
