,rai_a,rai_b,rai_divergence,rai_diff
2024-12-02,-0.6571287400970133,1.9311978700811463,2.5883266101781595,-2.5883266101781595
2024-12-03,0.6571287400970133,0.09196180333719661,0.5651669367598167,0.5651669367598167
2024-12-04,0.6571287400970133,0.09196180333719661,0.5651669367598167,0.5651669367598167
2024-12-05,-0.21904291336567108,0.09196180333719661,0.31100471670286767,-0.31100471670286767
2024-12-06,-0.6571287400970133,0.09196180333719661,0.7490905434342099,-0.7490905434342099
2024-12-09,-0.21904291336567108,0.09196180333719661,0.31100471670286767,-0.31100471670286767
2024-12-10,0.6571287400970133,3.157355247910446,2.5002265078134327,-2.5002265078134327
2024-12-11,1.5333003935596976,-0.5211168855774533,2.0544172791371507,2.0544172791371507
2024-12-12,2.847557873753724,-1.134195574492103,3.9817534482458274,3.9817534482458274
2024-12-13,-1.0952145668283555,0.09196180333719661,1.187176370165552,-1.187176370165552
2024-12-16,0.21904291336567108,-0.5211168855774533,0.7401597989431243,0.7401597989431243
2024-12-17,-0.6571287400970133,-0.5211168855774533,0.13601185451956,-0.13601185451956
2024-12-18,-1.0952145668283555,0.7050404922518465,1.800255059080202,-1.800255059080202
2024-12-19,0.21904291336567108,0.09196180333719661,0.12708111002847447,0.12708111002847447
2024-12-20,-0.6571287400970133,-0.5211168855774533,0.13601185451956,-0.13601185451956
2024-12-23,-1.0952145668283555,-0.5211168855774533,0.5740976812509022,-0.5740976812509022
2024-12-24,0.21904291336567108,-0.5211168855774533,0.7401597989431243,0.7401597989431243
2024-12-26,-1.0952145668283555,-0.5211168855774533,0.5740976812509022,-0.5740976812509022
2024-12-27,0.6571287400970133,-1.134195574492103,1.7913243145891165,1.7913243145891165
2024-12-30,-0.21904291336567108,-0.5211168855774533,0.3020739722117822,0.3020739722117822
