,rai_a,rai_b,rai_divergence,rai_diff
2024-12-02,2.0974252037187946,0.3258200129660855,1.771605190752709,1.771605190752709
2024-12-03,-0.7534440052193736,0.5019389388936991,1.2553829441130726,-1.2553829441130726
2024-12-04,0.061090054477245886,0.3258200129660855,0.2647299584888396,-0.2647299584888396
2024-12-05,0.4683570843255557,0.14970108703847185,0.3186559972870838,0.3186559972870838
2024-12-06,2.9119592634154143,0.14970108703847185,2.7622581763769425,2.7622581763769425
2024-12-09,-0.7534440052193736,0.14970108703847185,0.9031450922578454,-0.9031450922578454
2024-12-10,-0.3461769753710639,-3.372677431513801,3.0265004561427373,3.0265004561427373
2024-12-11,-0.7534440052193736,0.6780578648213128,1.4315018700406865,-1.4315018700406865
2024-12-12,-0.7534440052193736,0.3258200129660855,1.0792640181854591,-1.0792640181854591
2024-12-13,1.282891144022175,0.3258200129660855,0.9570711310560895,0.9570711310560895
2024-12-16,-0.3461769753710639,0.14970108703847185,0.49587806240953575,-0.49587806240953575
2024-12-17,-0.3461769753710639,0.3258200129660855,0.6719969883371494,-0.6719969883371494
2024-12-18,-0.3461769753710639,0.5019389388936991,0.848115914264763,-0.848115914264763
2024-12-19,-0.3461769753710639,0.14970108703847185,0.49587806240953575,-0.49587806240953575
2024-12-20,0.061090054477245886,-2.3159638759481194,2.3770539304253653,2.3770539304253653
2024-12-23,-0.7534440052193736,0.14970108703847185,0.9031450922578454,-0.9031450922578454
2024-12-24,0.061090054477245886,0.5019389388936991,0.4408488844164532,-0.4408488844164532
2024-12-26,-0.3461769753710639,0.14970108703847185,0.49587806240953575,-0.49587806240953575
2024-12-27,-0.3461769753710639,0.3258200129660855,0.6719969883371494,-0.6719969883371494
2024-12-30,-0.7534440052193736,0.5019389388936991,1.2553829441130726,-1.2553829441130726
