date,HAL
2024-12-02,10.5
2024-12-03,10.0
2024-12-04,10.0
2024-12-05,10.0
2024-12-06,10.5
2024-12-09,10.5
2024-12-10,10.5
2024-12-11,10.0
2024-12-12,10.0
2024-12-13,10.0
2024-12-16,13.0
2024-12-17,10.0
2024-12-18,0.0
2024-12-19,10.5
2024-12-20,12.0
2024-12-23,0.0
2024-12-24,10.5
2024-12-26,12.0
2024-12-27,12.0
2024-12-30,10.0
