,rai_a,rai_b,rai_divergence,rai_diff
2024-12-02,-0.48607902762671856,0.26491100116072636,0.7509900287874449,-0.7509900287874449
2024-12-03,-0.48607902762671856,0.11773822273810065,0.6038172503648193,-0.6038172503648193
2024-12-04,-0.48607902762671856,0.11773822273810065,0.6038172503648193,-0.6038172503648193
2024-12-05,1.9443161105068743,0.11773822273810065,1.8265778877687735,1.8265778877687735
2024-12-06,-0.48607902762671856,0.26491100116072636,0.7509900287874449,-0.7509900287874449
2024-12-09,-0.48607902762671856,0.26491100116072636,0.7509900287874449,-0.7509900287874449
2024-12-10,-0.48607902762671856,0.26491100116072636,0.7509900287874449,-0.7509900287874449
2024-12-11,-0.48607902762671856,0.11773822273810065,0.6038172503648193,-0.6038172503648193
2024-12-12,2.0722316440928528,0.11773822273810065,1.954493421354752,1.954493421354752
2024-12-13,2.0722316440928528,0.11773822273810065,1.954493421354752,1.954493421354752
2024-12-16,-0.48607902762671856,1.0007748932738547,1.4868539209005733,-1.4868539209005733
2024-12-17,-0.48607902762671856,0.11773822273810065,0.6038172503648193,-0.6038172503648193
2024-12-18,-0.48607902762671856,-2.825717345714413,2.3396383180876947,2.3396383180876947
2024-12-19,-0.48607902762671856,0.26491100116072636,0.7509900287874449,-0.7509900287874449
2024-12-20,-0.48607902762671856,0.7064293364286034,1.192508364055322,-1.192508364055322
2024-12-23,1.688485043334917,-2.825717345714413,4.514202389049331,4.514202389049331
2024-12-24,-0.48607902762671856,0.26491100116072636,0.7509900287874449,-0.7509900287874449
2024-12-26,-0.48607902762671856,0.7064293364286034,1.192508364055322,-1.192508364055322
2024-12-27,-0.48607902762671856,0.7064293364286034,1.192508364055322,-1.192508364055322
2024-12-30,-0.48607902762671856,0.11773822273810065,0.6038172503648193,-0.6038172503648193
