,ABBV,AXP,BAC,BLK,COF,CVX,GS,HAL,JNJ,JPM,MA,MRK,MS,PFE,SLB,TROW,USB,V,WFC,XOM
2022-01-03,114.89402770996094,159.11892700195312,41.4797477722168,820.0728759765625,136.84007263183594,99.58717346191406,355.34564208984375,21.995664596557617,151.77001953125,144.1915740966797,361.1984558105469,67.46888732910156,86.5068130493164,44.6290397644043,28.821687698364258,159.9215087890625,47.17890930175781,213.97042846679688,45.34504699707031,54.391056060791016
2022-01-04,114.67345428466797,164.22711181640625,43.10552978515625,825.0109252929688,139.43222045898438,101.39921569824219,366.26678466796875,23.31595230102539,151.3630828857422,149.6578369140625,365.5217590332031,67.59176635742188,90.02095794677734,42.95890426635742,30.22097396850586,160.36532592773438,48.414608001708984,214.9657440185547,47.15062713623047,56.43692398071289
2022-01-05,115.27584075927734,162.47708129882812,42.37797927856445,802.1195678710938,136.76626586914062,102.05889129638672,358.3119201660156,23.08673858642578,152.37167358398438,146.9217987060547,364.07086181640625,69.23306274414062,87.7933120727539,43.82548141479492,30.22097396850586,154.086181640625,48.15922927856445,212.58859252929688,46.73945617675781,57.13885498046875
2022-01-06,114.73283386230469,163.96595764160156,43.23127365112305,805.4655151367188,139.04478454589844,102.9273452758789,356.78387451171875,23.48099136352539,151.84967041015625,148.48268127441406,360.7461242675781,69.1891860961914,89.2956771850586,43.203121185302734,30.938791275024414,156.17373657226562,49.46906661987305,212.3470458984375,47.937217712402344,58.48280334472656
2022-01-07,114.43590545654297,165.36947631835938,44.174400329589844,802.5692138671875,142.69775390625,104.4053726196289,357.3052062988281,23.856904983520508,153.90228271484375,149.95387268066406,360.4049987792969,70.4793930053711,89.83964538574219,43.89637756347656,31.829252243041992,157.45590209960938,50.25167465209961,209.65101623535156,48.956199645996094,58.96216583251953
2022-01-10,115.71701049804688,164.76258850097656,43.949851989746094,785.542236328125,144.967041015625,104.47216796875,358.7972717285156,23.70103645324707,153.14138793945312,150.09744262695312,354.80853271484375,72.29623413085938,89.90872192382812,44.306034088134766,31.911020278930664,155.50802612304688,50.54824447631836,204.82908630371094,49.474639892578125,58.611202239990234
2022-01-11,116.20907592773438,166.3178253173828,44.20134735107422,798.8992919921875,146.2216339111328,106.86039733886719,362.2847900390625,24.97548484802246,151.51344299316406,150.24989318847656,357.1290283203125,71.6818618774414,91.4542465209961,44.66054916381836,33.14674758911133,159.18182373046875,51.174339294433594,207.1579132080078,50.10927200317383,61.076515197753906
2022-01-12,116.48059844970703,165.45481872558594,43.88697052001953,796.1290283203125,146.47991943359375,106.32595825195312,350.8334045410156,25.158857345581055,150.2217254638672,151.10211181640625,358.12347412109375,71.26933288574219,88.97621154785156,44.6290397644043,33.1195068359375,148.6206512451172,51.47914505004883,208.4430694580078,50.413185119628906,60.896751403808594
2022-01-13,114.45753479003906,164.33578491210938,43.797142028808594,780.3612670898438,148.8599090576172,105.88339233398438,351.2737731933594,25.60812759399414,149.3104248046875,150.91372680664062,360.2781677246094,71.37464904785156,88.54452514648438,43.75457763671875,32.865074157714844,145.72764587402344,52.0557975769043,207.75701904296875,50.05564498901367,60.460182189941406
2022-01-14,116.4720230102539,159.69845581054688,43.03365707397461,763.2893676757812,148.11270141601562,107.68708801269531,342.41107177734375,26.350788116455078,148.4964141845703,141.63807678222656,362.8326416015625,71.42731475830078,85.37571716308594,43.28977584838867,34.35523223876953,143.80445861816406,52.105220794677734,207.43814086914062,51.89696502685547,61.52164077758789
2022-01-18,117.25210571289062,157.5836944580078,41.55160903930664,748.3580932617188,144.90252685546875,108.0378189086914,318.55535888671875,26.222427368164062,147.84176635742188,135.69947814941406,357.13873291015625,71.56774139404297,81.17082214355469,42.62801742553711,34.10990524291992,140.34429931640625,51.23199462890625,208.4430694580078,50.67238998413086,62.55742263793945
2022-01-19,115.90625,153.0507049560547,41.713279724121094,742.5116577148438,139.85655212402344,107.64533996582031,312.1915588378906,26.02071189880371,147.3816375732422,133.60032653808594,351.7080993652344,71.34831237792969,82.65593719482422,42.17897033691406,33.71010971069336,137.90333557128906,47.261287689208984,207.44778442382812,49.67127990722656,62.583106994628906
2022-01-20,114.03749084472656,152.60496520996094,41.09352111816406,743.4560546875,138.62042236328125,107.26119232177734,312.892578125,25.800668716430664,146.20497131347656,132.4610595703125,354.896240234375,70.87435913085938,86.19599914550781,42.580753326416016,33.664676666259766,135.43771362304688,46.90706253051758,207.1289520263672,49.16179275512695,62.72005844116211
2022-01-21,113.13739013671875,150.5376434326172,40.347991943359375,720.4027099609375,135.16116333007812,105.97525024414062,309.1263427734375,25.250545501708984,145.86874389648438,130.14662170410156,346.19927978515625,70.19853210449219,85.35846710205078,41.58811569213867,33.0377197265625,131.2378692626953,45.39126968383789,198.9925994873047,47.972965240478516,61.7784538269043
2022-01-24,113.29168701171875,150.71780395507812,40.01565170288086,707.7200927734375,136.8031768798828,106.20071411132812,308.65899658203125,26.213258743286133,144.18771362304688,130.02999877929688,340.680908203125,69.1891860961914,84.68498992919922,40.60336685180664,33.25579071044922,130.94200134277344,46.79997253417969,195.05003356933594,47.660118103027344,62.30916976928711
2022-01-25,114.08892059326172,164.1651153564453,40.80607986450195,718.2709350585938,140.3639373779297,110.71829223632812,307.005126953125,28.04698944091797,148.3106689453125,131.44735717773438,330.28753662109375,69.74214172363281,85.51387786865234,41.391170501708984,35.245689392089844,129.56947326660156,47.29424285888672,195.19497680664062,47.90146255493164,64.14105987548828
2022-01-26,115.06616973876953,166.2609405517578,41.228248596191406,715.5006103515625,133.66671752929688,110.80178833007812,308.0207824707031,28.239534378051758,148.9742431640625,132.69427490234375,336.0399475097656,69.4612808227539,86.4895248413086,41.76142883300781,36.163394927978516,128.72293090820312,47.41781234741211,198.93460083007812,48.39308166503906,63.490474700927734
2022-01-27,116.5577621459961,163.0176544189453,40.842010498046875,708.7456665039062,130.69638061523438,113.0396957397461,306.53765869140625,28.26704216003418,150.9295196533203,130.35289001464844,341.7631530761719,70.72515869140625,87.3357162475586,42.36471939086914,35.30929946899414,123.1587905883789,47.31895446777344,199.20516967773438,48.053409576416016,64.3036880493164
2022-01-28,118.22936248779297,167.91102600097656,41.2013053894043,726.8968505859375,131.5635223388672,109.0649185180664,311.91290283203125,28.752979278564453,151.99122619628906,131.5191192626953,372.9433288574219,71.00603485107422,88.50945281982422,43.12675476074219,36.05437469482422,123.12593841552734,47.846195220947266,220.31907653808594,48.437774658203125,64.44064331054688
2022-01-31,117.34640502929688,170.52841186523438,41.44381332397461,740.2089233398438,135.35487365722656,109.66612243652344,318.80706787109375,28.184520721435547,152.43359375,133.30433654785156,376.716552734375,71.51509094238281,89.15283966064453,41.8249397277832,35.500099182128906,126.92301940917969,47.93679428100586,218.5507354736328,48.089176177978516,65.0227279663086
2022-02-01,117.4406967163086,174.05618286132812,42.16239547729492,742.9163818359375,138.82342529296875,112.55538177490234,327.2384033203125,28.76215171813965,151.1861114501953,135.59182739257812,382.25445556640625,71.9012680053711,90.3787612915039,42.126583099365234,35.908992767333984,128.00790405273438,48.826507568359375,224.5322265625,49.698097229003906,69.19152069091797
