date,johansen_rank,eigenvalue,hedge_ratio,half_life,zscore
2022-06-27,0,0.06919409864308575,0.6861636542187823,5.435642024930744,-1.8460023333212197
2022-06-28,0,0.07427345101239735,0.6826941645181286,5.6752568574199875,-1.8613024843711212
2022-06-29,0,0.07460689792720683,0.6807847865762728,5.62428513724897,-1.561366727505618
2022-06-30,0,0.06367816649036473,0.6808316879836356,5.827879149592176,-1.599142441101044
2022-07-01,0,0.05968324525346813,0.6842869619116628,5.9311757911740015,-1.4717767596173703
2022-07-05,0,0.054468633948977906,0.6917632612165763,6.116198623727627,-1.5261540410450387
2022-07-06,0,0.04692432019837243,0.7061256296061297,6.461697529577355,-1.7778428027860167
2022-07-07,0,0.044037911329798424,0.7236574984546216,6.843964673390486,-1.8226086507678243
2022-07-08,0,0.05259675804191073,0.7367703572392013,6.873557244198639,-1.3947816950426342
2022-07-11,0,0.05043697328577445,0.7474287638480508,6.797991866237613,-1.3481958925755646
2022-07-12,0,0.046611460192845865,0.7643169000789672,7.196887666603638,-1.6200289231690856
2022-07-13,0,0.05146733268909715,0.7822486096135748,7.431407762126676,-1.5501690191101345
2022-07-14,0,0.05389478435914,0.8006788225233714,7.52710276588095,-1.5657461794320493
2022-07-15,0,0.04676496541182329,0.8221150647894,7.736180752405302,-1.5462830210509566
2022-07-18,0,0.05106952558453895,0.8404893229634701,7.758384426993289,-1.1155102415402092
2022-07-19,0,0.05846051374944326,0.8540496756436071,7.519745944392849,-1.050275959711276
2022-07-20,0,0.0518450860733346,0.8642352514635923,6.755616002506455,-0.6546979890685153
2022-07-21,0,0.05719750826712701,0.8758816903006619,7.2172144994002005,-0.5406187437558881
2022-07-22,0,0.059180637689292145,0.8833695851491346,6.798881040817437,-0.19346688685204308
2022-07-25,0,0.061631669442655856,0.8821080588977037,6.511067151482599,1.112587063757908
2022-07-26,0,0.05939755358102603,0.8816701442427192,6.563086175714579,1.2795623687972602
2022-07-27,0,0.057605458682987234,0.8805558914128039,6.562267701757409,1.1374756778192134
2022-07-28,0,0.05433000028398753,0.8796542002654746,6.756815876143912,1.1256544426995854
2022-07-29,0,0.06279697138842276,0.8790496316249812,6.889629587526044,0.8693122217380267
2022-08-01,0,0.056302659021498974,0.8749255185976874,6.7730576114690315,1.3210739647716323
2022-08-02,0,0.0555139267081709,0.869982830759823,7.232084620329928,1.5257172028057475
2022-08-03,0,0.05456000358069983,0.8657850524193699,7.349311625116282,1.454895945399431
2022-08-04,0,0.06231838341521202,0.8636154844681945,6.836044777951618,0.8003846791391424
2022-08-05,0,0.06264559583731771,0.8630650902793766,6.49915318835437,0.42822581172308416
2022-08-08,0,0.06769530040813312,0.8614327907249393,6.581283683326774,0.5961658163244947
2022-08-09,0,0.07560443557777502,0.8611461497729976,6.274097026283177,0.4760148407293953
2022-08-10,0,0.07534599100913217,0.8613291095874109,5.874878025673132,0.5355432665831144
2022-08-11,0,0.07466849293465673,0.8612846781798085,5.699286049301593,0.4515864388439435
2022-08-12,0,0.07393860849742243,0.8601038492725726,5.780233955424145,1.1124047177554333
2022-08-15,0,0.0756932378528848,0.8588919481704574,5.741021551180254,1.3023810499245314
2022-08-16,0,0.06766185270233904,0.8589256888478763,5.5035255097817615,1.0164655893855623
2022-08-17,0,0.07024092171758264,0.858400493259033,6.043052277793565,1.0628189538743322
2022-08-18,0,0.06612312466080367,0.8568477632910119,5.914993443113455,0.9379111049060064
2022-08-19,0,0.061641776747904574,0.8551595538669008,6.378886728411689,1.15645327037506
2022-08-22,0,0.06270946451216619,0.8512160011988988,6.628839474844127,1.381469607641824
2022-08-23,0,0.062114771426185454,0.8471429407295576,6.645385346482179,1.3263827534095958
2022-08-24,0,0.056169012962232825,0.8443326157923078,7.378784586936584,1.774458499292625
2022-08-25,0,0.056238835727109276,0.8411287817604303,7.661745292140722,1.8439494970037769
2022-08-26,0,0.064916044319029,0.8381234439666522,8.0700071298995,1.8488468787178787
2022-08-29,0,0.05732437131830986,0.8338721292273379,7.333513788141743,1.7448858467141384
2022-08-30,0,0.043982764633132373,0.8277571598955978,8.409024894279387,1.9373910493229487
2022-08-31,0,0.0459856055980979,0.8233122250589396,9.89406681641083,1.660734418821889
2022-09-01,0,0.04474629499522963,0.8185028302727422,9.563815564556567,1.402357897006247
2022-09-02,0,0.04456197912109647,0.8137074030244231,9.462379664864091,1.167810223360007
2022-09-06,0,0.042364903028525844,0.8099566362248776,9.951203255599689,1.3592928158927953
2022-09-07,0,0.04221183807767559,0.8068552085300857,9.527140137415286,1.1797712890830565
2022-09-08,0,0.041608361763133345,0.8022592930574224,9.832249545802632,1.384943852785835
2022-09-09,0,0.036704776189196826,0.7958707450282676,11.377793613661233,2.1513187414690815
2022-09-12,0,0.03381224677656239,0.7906599773659579,12.853312482693626,2.359977655899706
