,rai_a,rai_b,rai_divergence,rai_diff
2024-12-02,-0.26496764349818536,0.6105253266096066,0.8754929701077919,-0.8754929701077919
2024-12-03,-0.9273867522436482,0.32982402701898295,1.257210779262631,-1.257210779262631
2024-12-04,-1.2585963066163794,0.32982402701898295,1.5884203336353624,-1.5884203336353624
2024-12-05,-0.5961771978709167,0.32982402701898295,0.9260012248898997,-0.9260012248898997
2024-12-06,-1.2585963066163794,0.47017467681429476,1.7287709834306741,-1.7287709834306741
2024-12-09,-0.5961771978709167,-2.477188968887253,1.8810117710163363,1.8810117710163363
2024-12-10,0.06624191087454605,0.32982402701898295,0.2635821161444369,-0.2635821161444369
2024-12-11,-0.5961771978709167,0.7508759764049183,1.347053174275835,-1.347053174275835
2024-12-12,-0.26496764349818536,0.7508759764049183,1.0158436199031038,-1.0158436199031038
2024-12-13,0.06624191087454605,-2.477188968887253,2.5434308797617993,2.5434308797617993
2024-12-16,0.3974514652472774,0.47017467681429476,0.07272321156701733,-0.07272321156701733
2024-12-17,-0.26496764349818536,0.47017467681429476,0.7351423203124801,-0.7351423203124801
2024-12-18,0.3974514652472774,0.32982402701898295,0.06762743822829448,0.06762743822829448
2024-12-19,-0.5961771978709167,0.32982402701898295,0.9260012248898997,-0.9260012248898997
2024-12-20,2.715918345856397,0.47017467681429476,2.245743669042102,2.245743669042102
2024-12-23,2.0534992371109344,0.32982402701898295,1.7236752100919515,1.7236752100919515
2024-12-24,0.7286610196200088,-1.6350850701153823,2.363746089735391,2.363746089735391
2024-12-26,0.06624191087454605,-0.6526305215481997,0.7188724324227457,0.7188724324227457
2024-12-27,-0.5961771978709167,0.6105253266096066,1.2067025244805234,-1.2067025244805234
2024-12-30,0.7286610196200088,0.32982402701898295,0.3988369926010259,0.3988369926010259
