date,johansen_rank,eigenvalue,hedge_ratio,half_life,zscore
2022-06-27,1,0.12293515498331195,2.9440592108360377,8.259547745489803,0.3345469264415132
2022-06-28,1,0.12135512167826693,2.9048470502440864,7.2287915759262,0.24031795014940618
2022-06-29,0,0.09858767648888772,2.851948093024818,6.605433570875154,-0.12690116593450404
2022-06-30,1,0.11823370941446133,2.804890438277116,7.0412265224598185,0.26199566816065195
2022-07-01,1,0.14692910961026365,2.7594862260924597,6.474155208475526,0.17671244723943935
2022-07-05,1,0.16895504445783066,2.711601777414536,5.484284446862758,0.19331701322497655
2022-07-06,1,0.14493459626135324,2.6591600574940983,4.777292523113988,0.11200509103406758
2022-07-07,1,0.1936561205634429,2.6013054506941717,4.722114936785476,-0.18517106554299473
2022-07-08,1,0.21749565332485077,2.5586225733781482,3.878106039395997,-0.08135974171061369
2022-07-11,1,0.11758742252625648,2.5143660108428536,3.2899208827032154,-0.36046550425489793
2022-07-12,0,0.07359998640411736,2.4838216966602156,4.641472433331846,-0.6000321694957187
2022-07-13,0,0.06083705968056806,2.48003454009394,6.036993166891216,-0.7641210534285044
2022-07-14,0,0.06124600674301067,2.483542109061064,6.427707314481369,-0.7607665907557615
2022-07-15,0,0.048127384288377414,2.5090335642285213,6.763823758309214,-2.097461981951269
2022-07-18,0,0.0700133759568725,2.5273805219392083,6.2773541032816675,-1.3319540992020034
2022-07-19,0,0.09060320532109017,2.5380787054465026,5.367881609630571,-0.35754137740685044
2022-07-20,1,0.12506017718627926,2.5498933703881663,4.791320355669029,1.433604282691846
2022-07-21,1,0.11193039064598195,2.5655612991040035,4.347753086449683,1.973726715943804
2022-07-22,0,0.07935691651354472,2.5923830091314826,4.614654316524279,2.3804803074441994
2022-07-25,0,0.06379863706745777,2.6193043093977537,5.268776006330439,2.1807403267971717
2022-07-26,0,0.07139395904993506,2.6383840721217826,6.176706119067071,2.132046791836338
2022-07-27,0,0.0663126892539266,2.6458163852146264,6.044531485337399,1.8840455298902425
2022-07-28,0,0.06201779886650341,2.658971936991712,6.404118646083067,2.1383790806826886
2022-07-29,0,0.0815548970324966,2.6742693316832766,7.478908610127098,2.339982230211003
2022-08-01,1,0.1005853344916288,2.6851943306379447,7.83039963976316,2.3988477954679674
2022-08-02,1,0.14597307758218914,2.705835579136764,7.673445082994243,2.198307421506319
2022-08-03,1,0.1514616158253287,2.7349990852529427,6.799154584493522,1.6833089478055596
2022-08-04,1,0.1354948376665504,2.787234941116682,6.646878698734129,1.8588275990006151
2022-08-05,1,0.12568376742190263,2.8540168523302336,6.113813585882822,1.445446554478601
2022-08-08,1,0.1550345852102567,2.924519163043911,6.365211128017306,1.5193123189594306
2022-08-09,1,0.13073145056100974,2.988033185602986,6.301038231678575,1.525949397679151
2022-08-10,1,0.08950981262882758,3.0631529432423905,6.628744559947935,1.6462530822778192
2022-08-11,1,0.10448966645608826,3.142817376675143,7.9949014170934065,2.215918109176866
2022-08-12,1,0.10835050777182823,3.2009148972565438,7.645408939260312,2.04574259646179
2022-08-15,1,0.11159080581538797,3.2604560629730055,6.9092853025096215,1.483475826545613
2022-08-16,0,0.0922552627447041,3.321564191866851,6.8666040748695005,1.5243643929277004
2022-08-17,1,0.11372262438704508,3.375441590748664,7.581333418488512,1.3736681692220611
2022-08-18,0,0.09085731282066876,3.4115805549432876,7.666583899951239,1.3510429684029883
2022-08-19,0,0.08976250498810143,3.450023408907593,8.051217925497081,1.1767262790762767
2022-08-22,0,0.08451139370195734,3.4708898713296947,8.109614256807381,1.2260756908511006
2022-08-23,0,0.08499327691116867,3.4834940052209213,8.361258549333431,0.8976899641860042
2022-08-24,0,0.08745608866731448,3.486014720701117,8.227180200779916,0.577858685609741
2022-08-25,0,0.09130515534157287,3.4916587184094796,8.262023604468295,0.7047757079315792
2022-08-26,0,0.09106490373586948,3.49887825044166,8.148557135925447,0.7105554790304791
2022-08-29,0,0.08212322451153452,3.5054237138175166,8.183781661010505,0.792110240055922
2022-08-30,0,0.08212542475693574,3.512081065882446,8.691467427737038,1.2437411258893856
2022-08-31,0,0.07838484725112091,3.5142649549568117,9.2892219802757,1.7386373038938152
2022-09-01,0,0.08285717247362392,3.5185373509545377,9.171244735629637,1.5096118301910946
2022-09-02,0,0.08497450333034555,3.5237546041511982,8.705426016641738,1.0621183305398902
2022-09-06,1,0.09587397619883806,3.526796357291248,8.38963532635155,0.5504252423260518
2022-09-07,1,0.10428708438656856,3.5274158009063417,8.685185063645859,0.4282856293131127
2022-09-08,1,0.11479296091773529,3.539534345668236,7.855802139989837,0.08017297717192251
2022-09-09,1,0.09939263671759781,3.5684434595497514,7.283247971740456,-0.06976670423400044
2022-09-12,1,0.12782169726472578,3.6081926139110316,7.178794472498008,0.08914233121580727
2022-09-13,1,0.12442209870689003,3.6375269614271497,6.5109629992441755,0.04782152493916014
2022-09-14,1,0.12551722059494652,3.6739265829963212,5.890960530392522,-0.6431251907794031
2022-09-15,1,0.13627644189545196,3.703966112552296,5.898227059991643,-1.0226263612003048
2022-09-16,1,0.12570525164424923,3.728752241544585,5.608005858587693,-0.98562676601855
2022-09-19,1,0.12488237666991826,3.7517311164358147,5.873531774676983,-1.5448032589819245
2022-09-20,1,0.10238073440527433,3.7578918926517417,6.59026870733949,-2.032148811711007
2022-09-21,1,0.09110642649070819,3.765741045638599,6.936462779733872,-1.9997322219367109
2022-09-22,1,0.09231989800253212,3.768952523727524,7.9527350268955015,-1.8888548245978454
2022-09-23,1,0.09610764459491015,3.763055590791479,9.015947881348236,-2.2435794381899394
2022-09-26,1,0.10831142974269067,3.767606622954311,8.879252388044668,-2.0071779062199777
2022-09-27,1,0.10843485456981014,3.782686928089544,10.001822556218572,-2.146236685309284
2022-09-28,1,0.10366409700922796,3.7972602631054846,11.672519790830409,-2.4889563351507813
2022-09-29,1,0.09404893459525657,3.8013005414234304,10.601683592195977,-2.0276495543742286
2022-09-30,1,0.10360046379320906,3.809644221812227,10.671555862007056,-1.756799294988284
2022-10-03,1,0.10393169189636255,3.8211997189883347,10.860369282019224,-1.6994054336292697
2022-10-04,1,0.0981363300658018,3.8272532575047937,10.63488460091601,-1.4760676865224387
2022-10-05,1,0.08512655142710723,3.8242765563102026,9.910877367353468,-1.0120181587455837
2022-10-06,1,0.08287496310153364,3.8223143195996347,10.858966542431027,-1.4752502174792286
2022-10-07,1,0.09413681434556292,3.8248310008847675,10.223883949364229,-1.0425270143384058
2022-10-10,1,0.10403209605793429,3.8241518401006593,9.333589878613367,-0.10207202449694816
2022-10-11,1,0.10064007242795223,3.8252337525061213,9.253402422712238,0.14451372510547467
2022-10-12,1,0.09647925232637262,3.8316710018873814,9.155085469960092,-0.05488801572310104
2022-10-13,1,0.09397536471657174,3.8326092066569997,9.183121319228988,0.404047160498097
2022-10-14,1,0.09388890730441346,3.829525894730093,9.345156048569184,0.697840522659858
2022-10-17,0,0.07475775109972081,3.8026166066057825,10.631797794127962,2.0153544855599184
2022-10-18,1,0.0852993036143394,3.7831053030845347,10.950181786859519,1.943355152893441
2022-10-19,1,0.09580993836872474,3.774333395284282,10.674199786350039,1.68475592795142
2022-10-20,1,0.07442914765623988,3.753232779762164,12.857007240192402,2.360285126426114
2022-10-21,0,0.07055803253237991,3.7190394808203293,16.026294358967522,2.6944713137715266
2022-10-24,1,0.09614054410335476,3.697981025499642,26.624264178492375,3.293534682874448
2022-10-25,1,0.08468927368686861,3.6802441757420645,40.292133202386786,3.5120044048175827
2022-10-26,1,0.08780141103143492,3.68528423969352,29.372415178669343,3.318776917886609
