date,MRK
2024-12-02,12.5
2024-12-03,12.5
2024-12-04,10.5
2024-12-05,10.0
2024-12-06,10.5
2024-12-09,10.0
2024-12-10,11.5
2024-12-11,10.0
2024-12-12,10.0
2024-12-13,10.5
2024-12-16,10.5
2024-12-17,11.5
2024-12-18,11.0
2024-12-19,11.0
2024-12-20,10.0
2024-12-23,10.5
2024-12-24,12.5
2024-12-26,12.5
2024-12-27,12.0
2024-12-30,10.5
